City Name,Country,Region,CBD Latitude,CBD Longitude,Land CoverT1,Land Cover T2,Land Cover T3,Population T1,Population T2,Population T3,Population Annual Change T2-T3,Area T1 (ha),Area T2 (ha),Area T3 (ha),Area Annual Change T2-T3,Longitude,Latitude
Holguin,Cuba,Latin America and the Caribbean,20.883,-76.263,7/1/1987,5/1/2001,1/1/2014,"200,231","238,531","263,345",0.80%,"1,652","2,070","2,157",0.30%,20.91155765,-75.78919775863332
"Hong Kong, Hong Kong",China,East Asia and the Pacific,22.346,114.183,11/1/1989,1/1/2000,10/1/2013,"3,661,992","4,017,763","4,322,119",0.50%,"5,934","8,037","9,254",1.00%,22.2793278,114.1628131
Houston,United States,Land-Rich Developed Countries,29.78,-95.386,11/1/1990,9/1/2000,5/1/2014,"2,739,736","3,758,618","5,399,338",2.70%,"116,357","182,480","272,394",2.90%,29.7589382,-95.3676974
Hyderabad,India,South and Central Asia,17.422,78.484,3/1/1990,7/1/1999,5/1/2014,"3,906,590","5,067,000","7,609,285",2.70%,"12,669","26,666","46,168",3.70%,17.360589,78.4740613
Ibadan,Nigeria,Sub-Saharan Africa,7.388,3.896,12/1/1984,2/1/2000,12/1/2013,"1,397,391","2,041,756","2,954,967",2.70%,"17,966","26,274","36,811",2.40%,7.3777462,3.8972497
Ilheus,Brazil,Latin America and the Caribbean,-14.803,-39.045,7/1/1993,5/1/2001,12/1/2013,"88,775","121,000","97,888",-1.70%,532,"1,250","1,513",1.50%,-14.792599,-39.0453843
Ipoh,Malaysia,Southeast Asia,4.59,101.077,12/1/1990,3/1/2003,2/1/2015,"409,006","605,174","793,675",2.30%,"10,153","18,566","25,310",2.60%,4.5986817,101.0900236
Istanbul,Turkey,Western Asia and North Africa,40.981,29.065,11/1/1990,6/1/2002,7/1/2013,"8,662,185","12,202,504","13,974,428",1.20%,"28,372","57,759","102,589",5.20%,41.0766019,29.052495
Jaipur,India,South and Central Asia,26.911,75.787,10/1/1989,10/1/2000,9/1/2014,"1,555,856","2,508,689","2,938,602",1.10%,"4,023","12,788","19,218",2.90%,26.9154576,75.8189817
Jalna,India,South and Central Asia,19.851,75.878,10/1/1989,10/1/2000,10/1/2014,"186,307","244,109","278,314",0.90%,519,"1,153","1,509",1.90%,19.918832950000002,75.87085986165867
Jequie,Brazil,Latin America and the Caribbean,-13.862,-40.085,8/1/1992,4/1/2001,4/1/2014,"123,038","131,027","128,045",-0.20%,"1,271","2,249","2,511",0.80%,-13.8604033,-40.0719627
"Jinan, Shandong",China,East Asia and the Pacific,36.682,117.02,9/1/1991,9/1/2000,7/1/2013,"1,716,692","2,239,910","3,316,828",3.10%,"19,266","26,315","45,089",4.20%,36.6661305,117.0199472
Jinju,Korea Rep.,East Asia and the Pacific,35.187,128.107,4/1/1988,4/1/2000,5/1/2014,"200,588","154,175","317,194",5.10%,"1,860","2,158","13,432",13.00%,35.1803459,128.1079953
Johannesburg,South Africa,Sub-Saharan Africa,6.842,3.634,3/1/1990,7/1/1998,6/1/2013,"3,148,133","4,726,764","8,000,159",3.50%,"76,333","92,826","181,191",4.50%,-26.205,28.049722
Kabul,Afghanistan,South and Central Asia,34.529,69.172,11/1/1987,8/1/2000,9/1/2014,"1,176,972","2,347,810","3,536,646",2.90%,"10,712","13,559","22,872",3.70%,34.5260109,69.1776838
"Kaiping, Guangdong",China,East Asia and the Pacific,22.38,112.688,4/1/1990,9/1/2000,11/1/2014,"35,194","188,290","191,749",0.10%,137,"1,537","2,045",2.00%,22.376073,112.6952565
Kairouan,Tunisia,Western Asia and North Africa,35.673,10.096,5/1/1992,5/1/2000,6/1/2010,"85,809","105,892","127,570",1.80%,905,"1,367","1,661",1.90%,35.6710101,10.10062
Kampala,Uganda,Sub-Saharan Africa,0.315,32.585,3/1/1988,2/1/2003,2/1/2015,"723,017","1,646,980","3,017,000",5.00%,"8,804","17,954","30,040",4.30%,0.3177137,32.5813539
Kanpur,India,South and Central Asia,26.457,80.31,12/1/1991,2/1/1999,9/1/2014,"2,101,131","2,521,488","2,795,714",0.70%,"7,970","11,071","14,405",1.70%,26.4609135,80.3217588
Karachi,Pakistan,South and Central Asia,24.9,67.075,2/1/1991,10/1/2000,10/1/2013,"5,736,359","9,973,619","12,787,536",1.90%,"18,058","27,536","35,018",1.80%,24.8546842,67.0207055
Kaunas,Lithuania,Europe and Japan,54.903,23.925,8/1/1990,9/1/2000,3/1/2014,"402,490","369,085","298,743",-1.60%,"6,126","6,908","8,090",1.20%,54.8982139,23.9044817
Kayseri,Turkey,Western Asia and North Africa,38.724,35.48,10/1/1987,6/1/2000,8/1/2013,"131,605","444,740","673,805",3.20%,608,"5,155","10,054",5.10%,38.6582232,35.5546374
Khartoum,Sudan,Western Asia and North Africa,15.552,32.532,12/1/1988,4/1/2000,3/1/2014,"1,253,183","1,844,695","5,061,792",7.30%,"12,889","16,955","58,271",8.90%,15.5635972,32.5349123
Kigali,Rwanda,Sub-Saharan Africa,9.927,8.88,2/1/1987,7/1/1999,10/1/2014,"211,150","422,776","821,881",4.40%,960,"3,937","8,272",4.90%,-1.950851,30.061507
Killeen,United States,Land-Rich Developed Countries,31.112,-97.732,8/1/1990,5/1/2000,8/1/2013,"93,137","119,748","225,248",4.80%,"8,141","10,038","17,686",4.30%,31.1171441,-97.727796
Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,-4.374,15.32,8/1/1994,9/1/2000,7/1/2013,"4,226,053","6,379,816","10,226,183",3.70%,"7,878","20,142","33,763",4.00%,-4.3217055,15.3125974
Kolkata,India,South and Central Asia,22.533,88.356,11/1/1990,11/1/2003,4/1/2014,"9,934,562","13,706,424","15,123,555",0.90%,"18,048","33,576","60,278",5.60%,22.5726459,88.3638953
Kozhikode,India,South and Central Asia,11.254,75.803,2/1/1991,3/1/2001,2/1/2014,"202,612","440,244","1,171,852",7.60%,217,"1,663","11,232",14.80%,11.2450558,75.7754716
Lagos,Nigeria,Sub-Saharan Africa,6.21,7.063,12/1/1984,2/1/2000,12/1/2013,"3,860,488","7,254,827","11,008,357",3.00%,"19,403","38,082","52,788",2.40%,6.4550575,3.3941795
Lahore,Pakistan,South and Central Asia,31.514,74.314,11/1/1991,10/1/2000,10/1/2013,"3,474,381","5,716,948","9,682,207",4.10%,"11,518","14,955","24,775",3.90%,31.5656822,74.3141829
Lausanne,Switzerland,Europe and Japan,46.516,6.633,4/1/1987,3/1/2001,8/1/2015,"193,460","260,181","306,229",1.10%,"2,501","5,289","6,495",1.40%,46.5218269,6.6327025
Le Mans,France,Europe and Japan,47.989,0.199,5/1/1992,8/1/1999,7/1/2013,"173,669","175,640","179,135",0.10%,"4,954","5,353","5,974",0.80%,48.0073849,0.1967849
Leon,Nicaragua,Latin America and the Caribbean,12.438,-86.878,7/1/1993,4/1/2000,1/1/2010,"135,097","141,815","160,355",1.30%,680,"1,199","1,544",2.60%,42.63414505,-5.971415104539984
"Leshan, Sichuan",China,East Asia and the Pacific,29.591,103.754,7/1/1990,7/1/2001,8/1/2014,"158,519","278,811","524,838",4.80%,"1,061","2,963","8,391",8.00%,29.5851296,103.747791
London,United Kingdom,Europe and Japan,51.506,-0.139,5/1/1989,6/1/2000,7/1/2013,"8,520,935","9,735,667","11,197,941",1.10%,"131,495","167,368","177,273",0.40%,51.5074456,-0.1277653
Los Angeles,United States,Land-Rich Developed Countries,33.971,-117.969,5/1/1990,5/1/2000,10/1/2014,"12,355,295","14,091,412","15,138,973",0.50%,"353,941","417,726","459,047",0.70%,34.0536909,-118.242766
Luanda,Angola,Sub-Saharan Africa,-8.825,13.26,6/1/1991,6/1/2000,5/1/2014,"1,572,722","2,690,396","5,555,024",5.20%,"10,411","17,175","36,891",5.50%,-8.8272699,13.2439512
Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,-11.677,27.48,7/1/1990,9/1/1998,8/1/2013,"660,736","942,352","1,746,415",4.10%,"5,509","8,435","15,865",4.20%,-11.6642316,27.4826264
Madrid,Spain,Europe and Japan,40.413,-3.707,5/1/1991,6/1/2002,5/1/2010,"3,641,938","4,337,697","5,256,249",2.40%,"20,632","32,971","56,019",6.70%,40.4167047,-3.7035825
Malatya,Turkey,Western Asia and North Africa,38.35,38.27,8/1/1990,7/1/2000,3/1/2014,"184,773","299,754","394,722",2.00%,"1,922","3,296","5,147",3.30%,38.3487153,38.3190674
Malegaon,India,South and Central Asia,20.562,74.52,2/1/1991,3/1/2000,10/1/2014,"253,609","311,046","461,737",2.70%,406,634,"1,432",5.60%,20.58968735,74.57175729734101
Manchester,United Kingdom,Europe and Japan,53.47,-2.474,5/1/1989,9/1/2002,10/1/2010,"2,452,873","2,448,232","2,585,614",0.70%,"43,129","49,554","51,040",0.40%,53.4794892,-2.2451148
Manila,Philippines,Southeast Asia,14.579,121.028,12/1/1990,4/1/2000,2/1/2014,"9,031,508","13,252,150","19,485,398",2.80%,"35,669","56,296","70,334",1.60%,14.5906346,120.9799964
Marrakesh,Morocco,Western Asia and North Africa,31.636,-8.021,3/1/1988,6/1/2002,8/1/2014,"371,585","514,030","770,422",3.30%,"3,824","5,447","9,999",5.00%,31.6258257,-7.9891608
Medan,Indonesia,Southeast Asia,3.596,98.651,6/1/1989,6/1/2001,6/1/2013,"1,214,040","2,863,706","3,771,804",2.30%,"8,062","21,439","39,096",5.00%,3.5896654,98.6738261
Mexico City,Mexico,Latin America and the Caribbean,19.446,-99.123,3/1/1990,2/1/2000,4/1/2014,"9,781,971","12,514,239","17,765,121",2.50%,"70,948","99,113","161,821",3.50%,19.4326296,-99.1331785
Milan,Italy,Europe and Japan,45.608,9.222,9/1/1988,8/1/2003,8/1/2013,"3,506,838","4,971,193","6,402,051",2.50%,"51,115","102,617","178,364",5.50%,45.4641943,9.1896346
Minneapolis,United States,Land-Rich Developed Countries,44.959,-93.256,5/1/1990,4/1/2000,10/1/2014,"1,899,162","2,281,581","2,626,920",1.00%,"83,673","117,302","142,874",1.40%,44.9772995,-93.2654692
Modesto,United States,Land-Rich Developed Countries,37.649,-120.993,7/1/1992,7/1/2000,8/1/2014,"232,879","334,840","458,146",2.20%,"8,770","14,853","22,728",3.00%,37.6390972,-120.996878
Montreal,Canada,Land-Rich Developed Countries,45.534,-73.658,8/1/1990,9/1/2000,8/1/2013,"2,719,909","2,870,230","3,317,850",1.10%,"68,677","74,831","89,185",1.40%,45.5031824,-73.5698065
Moscow,Russia,Europe and Japan,55.743,37.645,5/1/1991,5/1/2001,9/1/2014,"10,377,113","12,726,303","15,220,986",1.30%,"108,909","160,019","223,436",2.50%,55.7505412,37.6174782
Mumbai,India,South and Central Asia,19.115,72.913,12/1/1991,12/1/2001,10/1/2014,"11,786,684","14,344,154","19,601,845",2.40%,"27,806","33,417","53,135",3.60%,18.9733536,72.82810491917377
Myeik,Myanmar,Southeast Asia,12.448,98.618,2/1/1991,12/1/2003,1/1/2014,"109,650","116,528","216,734",6.20%,321,430,"1,079",9.10%,12.4319552,98.5955711
Nakuru,Kenya,Sub-Saharan Africa,-0.294,36.058,3/1/1989,2/1/2000,2/1/2014,"122,762","189,557","326,160",3.90%,"1,031","1,494","4,729",8.20%,-0.2802724,36.0712048
Ndola,Zambia,Sub-Saharan Africa,-12.981,28.634,6/1/1989,5/1/2002,6/1/2014,"275,484","338,145","443,327",2.20%,"2,355","3,481","4,738",2.60%,-12.9693056,28.6365894
New York,United States,Land-Rich Developed Countries,40.842,-73.798,5/1/1991,10/1/2000,5/1/2011,"16,235,289","17,955,548","18,412,093",0.20%,"509,235","720,862","747,852",0.30%,40.7127281,-74.0060152
Nikolaev,Ukraine,Europe and Japan,46.974,32.029,5/1/1989,9/1/2000,8/1/2013,"351,234","347,486","334,691",-0.30%,"5,166","6,512","6,566",0.10%,46.9758615,31.9939666
Okayama,Japan,Europe and Japan,34.657,133.949,5/1/1990,5/1/2000,5/1/2014,"1,156,304","1,196,567","1,277,186",0.50%,"36,681","40,169","45,925",1.00%,34.8581334,133.7759256
Oldenburg,Germany,Europe and Japan,53.148,8.207,8/1/1990,8/1/1999,10/1/2013,"129,512","145,877","158,329",0.60%,"2,026","2,732","3,781",2.30%,53.1389753,8.2146017
Osaka,Japan,Europe and Japan,34.718,135.389,5/1/1989,10/1/2001,3/1/2014,"8,505,622","8,674,622","8,709,527",0.00%,"72,025","87,895","95,077",0.60%,34.6198813,135.490357
Oyo,Nigeria,Sub-Saharan Africa,6.818,3.916,12/1/1990,2/1/2000,2/1/2014,"145,717","250,282","452,477",4.20%,"1,231","2,123","3,704",4.00%,8.2151249,3.5642897
Palembang,Indonesia,Southeast Asia,-2.958,104.736,4/1/1990,7/1/2001,6/1/2013,"1,195,955","1,454,196","1,721,220",1.40%,"4,735","15,089","20,960",2.80%,-2.9888243,104.7568507
Palermo,Italy,Europe and Japan,38.135,13.33,7/1/1987,5/1/2000,7/1/2013,"696,750","702,462","822,940",1.20%,"5,762","6,918","13,249",4.90%,38.1112268,13.3524434
Palmas,Brazil,Latin America and the Caribbean,-10.189,-48.33,4/1/1990,6/1/2000,8/1/2013,"6,441","88,195","154,873",4.30%,726,"3,215","4,228",2.10%,44.39975905,2.8433617206815267
Parbhani,India,South and Central Asia,19.28,76.765,3/1/1991,10/1/2002,12/1/2014,"267,978","324,330","382,635",1.40%,"1,135","1,694","1,868",0.80%,19.29019805,76.60264434278307
Parepare,Indonesia,Southeast Asia,119.633,-4.023,8/1/1994,8/1/2000,7/1/2014,"70,610","77,220","104,563",2.20%,302,426,662,3.20%,-4.0057055,119.6236101
Paris,France,Europe and Japan,48.863,2.315,5/1/1987,8/1/2000,5/1/2014,"9,265,734","10,009,893","11,114,026",0.80%,"127,790","158,629","198,626",1.60%,48.8588897,2.3200410217200766
Pematangsiantar,Indonesia,Southeast Asia,2.962,99.074,7/1/1994,7/1/2001,2/1/2014,"233,506","214,274","219,790",0.20%,"1,090","1,369","1,650",1.50%,3.0019096,99.0833144
Philadelphia,United States,Land-Rich Developed Countries,40.015,-75.168,6/1/1990,5/1/2000,4/1/2014,"4,760,536","5,329,830","5,852,880",0.70%,"163,084","223,016","298,214",2.10%,39.9527237,-75.1635262
"Pingxiang, Jiangxi",China,East Asia and the Pacific,27.643,113.851,2/1/1989,12/1/1999,9/1/2013,"192,628","475,926","757,573",3.40%,"2,746","8,944","15,265",3.90%,27.6603206,113.8830806
Pokhara,Nepal,South and Central Asia,28.22,83.98,4/1/1989,1/1/2000,5/1/2013,"80,223","138,941","272,830",5.10%,935,"1,160","1,630",2.60%,28.209538,83.991402
